resource,action,role,ownership_required
pizzeria,read,ANONYMOUS,false
pizzeria,read,CUSTOMER,false
pizzeria,read,PIZZERIA_OWNER,false
pizzeria,read,PIZZERIA_STAFF,false
pizzeria,read,ADMIN,false
pizzeria,create,PIZZERIA_OWNER,false
pizzeria,create,ADMIN,false
pizzeria,update,PIZZERIA_OWNER,true
pizzeria,update,ADMIN,false
pizzeria,delete,PIZZERIA_OWNER,true
pizzeria,delete,ADMIN,false
pizza,read,ANONYMOUS,false
pizza,read,CUSTOMER,false
pizza,read,PIZZERIA_OWNER,false
pizza,read,PIZZERIA_STAFF,false
pizza,read,ADMIN,false
pizza,create,PIZZERIA_OWNER,true
pizza,create,PIZZERIA_STAFF,true
pizza,create,ADMIN,false
pizza,update,PIZZERIA_OWNER,true
pizza,update,PIZZERIA_STAFF,true
pizza,update,ADMIN,false
pizza,delete,PIZZERIA_OWNER,true
pizza,delete,PIZZERIA_STAFF,true
pizza,delete,ADMIN,false
